Name,Hubble,class,sigma,logMBH,log[OIII],logEddRatio,det,morph,log(Lcore),log(Ltotal)
NGC7817,SAbc,H,66.7,6.21,39.29,-1.51,U,-,<35.64,-
IC10,IBm?,H,35.5,5.11,37.13,-2.57,U,-,<32.91,-
NGC147,dE5pec,ALG,22.0,4.28,-,-,U,-,<32.39,-
NGC185,dE3pec,L,19.9,4.10,34.63,-4.06,U,-,<32.33,-
NGC205,dE5pec,ALG,23.3,4.34^{*},-,-,U,-,<32.36,-
NGC221,E2,ALG,72.1,6.36,-,-,U,-,<32.33,-
NGC224,SAb,ALG,169.8,7.84,-,-,U,-,<32.32,-
NGC266,SBab,L,229.6,8.37,39.43,-3.53,I,A,36.94,37.02
NGC278,SABb,H,47.6,5.62,37.47,-2.74,I,A,34.81,35.83
NGC315,E+,L^{RL},303.7,8.92^{*},39.43,-4.02,I,A,39.58,39.61
NGC404,SA0,L,40.0,5.65^{*},37.16,-3.08,U,-,<33.28,-
NGC410,E+,L,299.7,8.84,<39.32,<-4.11,I,A,37.26,37.53
NGC507,SA0,ALG,307.7,8.88,-,-,I,A,36.86,37.07
NGC598,SAcd,H,21.0,4.20,<34.63,<-4.16,U,-,<32.43,-
IC1727,SBM,L,136.8,7.47,37.34,-4.72,U,-,<34.55,-
NGC672,SBcd,H,<64.3,<6.15,37.66,-3.08,U,-,<34.55,-
NGC697,SABc,H,75.0,6.42,37.86,-3.15,U,-,<35.95,-
NGC777,E1,L^{RL},324.1,8.97,38.38,-5.18,I,A,36.77,36.98
NGC783,SAc,H,101.4,6.94,38.81,-2.68,U,-,<36.12,-
NGC784,SBdm,H,35.5,5.11,37.68,-2.02,U,-,<34.19,-
NGC812,SAB0/apec,H,120.9,7.25,38.68,-3.16,U,-,<36.70,-
NGC818,SABc,H,151.3,7.64,38.46,-3.77,U,-,<36.14,-
NGC841,SABab,L,159.2,7.73,38.74,-3.58,U,-,<36.19,-
NGC890,SAB0,ALG,210.9,8.22,-,-,U,-,<36.06,-
NGC891,SAb?,H,73.1,6.37,36.29,-4.66,unI,-,<34.65,-
NGC925,SABd,H,71.9,6.34,37.21,-3.72,U,-,<34.55,-
NGC959,SAdm,H,43.6,5.47,37.40,-2.66,U,-,<34.65,-
NGC972,SAab,JH,102.8,6.97,38.64,-2.92,I,B,35.31,36.06
IC239,SAB(rs)cd,H,92.3,6.78,<36.93,<-4.40,U,-,<34.98,-
NGC1003,SA(s)cd,H,-,-,37.23,-,U,-,<34.58,-
NGC1023,SB(rs)0-,ALG,204.5,7.62^{*},-,-,U,-,<34.57,-
NGC1058,SA(rs)c,L,31.0,4.88,35.95,-3.48,U,-,<34.41,-
NGC1156,IB(s)m,H,35.9,5.13,39.15,-0.53,U,-,<34.15,-
NGC1161,SA0,L^{RL},258.4,8.58,38.13,-5.00,I,A,36.57,36.69
NGC1167,SA0-,L^{RL},216.9,8.27,40.17,-2.65,I,A,39.65,39.76
NGC1169,SAB(r)b,L,181.3,7.96,38.58,-3.93,U,-,<35.66,-
NGC1186,SB(r)bc:,H,119.8,7.24,38.95,-2.84,I,E,35.91,36.78
NGC1275,Pec,L^{RL},258.9,8.98^{*},41.61,-1.92,I,A,40.97,41.62
IC342,SAB(rs)cd,H,74.0,6.41^{*},35.99,-4.97,unI,-,<33.86,-
IC356,SA(s)abpec,H,156.6,7.70,37.57,-4.68,I,A,35.52,35.74
NGC1569,IBm,H,44.0,5.49,36.49,-3.55,unI,-,<33.18,-
NGC1560,SA(s)dspin,H,33.9,5.03,37.38,-2.20,I,A,33.78,34.12
NGC1961,SAB(rs)c,L^{RL},241.3,8.29^{*},39.11,-3.73,I,A,37.15,37.25
