Name,RA,DEC,Redshift,Magnitud(V),Beam_1,BPA,Speak,RMS,Beam_2,Q,PA,det,morph,log(Lcore),Upp_Lim_log(Lcore),log(Ltotal),logMBH,log[OIII],Upp_Lim_log[OIII],logEddRatio,Upp_Lim_logEddRatio,AType,Lp15GHz,Dist,St15GHz
IC1459,22 57 10.60,−36 27 44.0,0.0055,10.54,,,,,,,,,,,,,,,,,,,,,
NGC1052,02 41 04.80,+08 15 20.8,0.0049,11.04,,,,,,,,,,,,,,,,,,,,,
NGC2639,08 43 38.08,+50 12 20.0,0.0111,11.76,,,,,0.20x0.19,++,68.0,I,C,37.61,,38.5,7.94,39.6,,-2.93,,,,,
NGC2655,08 55 37.73,+78 13 23.1,0.0047,10.39,,,,,0.20x0.20,+,0.0,I,E,37.59,,37.97,7.74,39.44,,-2.89,,,,,
NGC266,00 49 47.80,+32 16 39.8,0.0155,11.82,,,,,0.48x0.31,+,-40.0,I,A,36.94,,37.02,8.37,39.43,,-3.53,,L1.9,21.280000686645508,62.400001525878906,4.099999904632568
NGC2681,08 53 32.73,+51 18 49.3,0.0023,10.86,0.17x0.14,-87.2,0.34+-0.01,9.6,0.19x0.16,++,51.8,I,C,35.51,,35.99,7.07,38.37,,-3.29,,L1.9,19.479999542236328,13.300000190734863,1.399999976158142
NGC2685,08 55 34.71,+58 44 03.83,0.003,11.35,,,,,,,,U,-,,34.82,,6.59^{*},38.41,,-2.73,,S2/T2:,19.450000762939453,16.200000762939453,0.8999999761581421
NGC2787,09 19 18.56,+69 12 12.0,0.0023,11.25,,,,,,,,I,A,36.28,,36.41,7.61^{*},38.37,,-3.79,,L1.9,20.149999618530273,13.0,7.0
NGC2841,09 22 02.63,+50 58 35.5,0.0021,10.18,,,,,0.19x0.16,++,52.7,I,C,34.84,,35.47,8.31,38.19,,-4.63,,,,,
NGC315,00 57 48.88,+30 21 08.8,0.0165,11.6,,,,,0.12x0.12,+,45.0,I,A,39.58,,39.61,8.92^{*},39.43,,-4.02,,L1.9,23.389999389648438,65.80000305175781,
NGC3185,10 17 38.56,+21 41 17.7,0.0041,12.2,,,,,,,,U,-,,35.15,,6.51,39.44,,-1.62,,,,,
NGC3226,10 23 27.01,+19 53 54.7,0.0059,12.95,,,,,,,,,,,,,,,,,,L1.9,20.520000457763672,23.399999618530273,5.400000095367432
NGC3245,10 27 18.39,+28 30 26.6,0.0044,10.75,,,,,,,,I,E,35.71,,36.36,8.38^{*},38.7,,-4.23,,T2:,19.770000457763672,22.200000762939453,1.0
NGC3379,10 47 49.59,+12 34 53.85,0.003,9.27,,,,,,,,,,,,,,,,,,L2/T2::,18.889999389648438,8.100000381469727,1.0
NGC3414,10 51 16.21,+27 58 30.36,0.0049,11.09,,,,,0.22x0.14,++,20.6,I,C,36.2,,36.33,8.40^{*},39.06,,-3.95,,L2,20.229999542236328,24.899999618530273,2.4000000953674316
NGC3507,11 03 25.36,+18 08 07.6,0.0033,,,,,,,,,,,,,,,,,,,L2,19.850000381469727,19.799999237060547,1.5
NGC3607,11 16 54.66,+18 03 06.5,0.0057,10.0,,,,,,,,,,,,,,,,,,L2,19.8799991607666,19.899999618530273,1.399999976158142
